,Awards,Awards_Nominated,Awards_Won,BAFTA Film Award Awards_Nominated,Golden Globe Awards_Nominated,Golden Globe Awards_Won,Oscar Awards_Nominated,Oscar Awards_Won,Primetime Emmy Awards_Nominated,Primetime Emmy Awards_Won,Title,Year
11698,1 win & 4 nominations.,4,1,0,0,0,0,0,0,0,Blindspot,2015–
11714,2 nominations.,2,0,0,0,0,0,0,0,0,Argentina,2015
11730,1 nomination.,1,0,0,0,0,0,0,0,0,Till Luck Do Us Part 3,2015
11750,1 nomination.,1,0,0,0,0,0,0,0,0,Thought Crimes: The Case of the Cannibal Cop,2015
11758,5 wins.,0,5,0,0,0,0,0,0,0,Haida Gwaii: On the Edge of the World,2015
11795,1 nomination.,1,0,0,0,0,0,0,0,0,Am Ende des Sommers,2015
11830,5 wins & 7 nominations.,7,5,0,0,0,0,0,0,0,Crazy,2015
11836,1 nomination.,1,0,0,0,0,0,0,0,0,The Package,2015
11840,Nominated for 2 Primetime Emmys. Another 3 nominations.,0,0,0,0,0,0,0,0,0,A Very Murray Christmas,2015
11852,1 nomination.,1,0,0,0,0,0,0,0,0,Gay Healers,2015
11854,4 wins.,0,4,0,0,0,0,0,0,0,Fight or Flight,2015
11870,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,End of the World,2015
11876,1 nomination.,1,0,0,0,0,0,0,0,0,Ray,2016
11914,1 nomination.,1,0,0,0,0,0,0,0,0,Treasure: From Tragedy to Trans Justice Mapping a Detroit Story,2015
11933,1 win & 2 nominations.,2,1,0,0,0,0,0,0,0,Dead Air,2015
11955,2 nominations.,2,0,0,0,0,0,0,0,0,American Epic,2015
11960,1 nomination.,1,0,0,0,0,0,0,0,0,Saint Amour,2016
11962,1 win.,0,1,0,0,0,0,0,0,0,Picking Up the Pieces,2015
11965,1 nomination.,1,0,0,0,0,0,0,0,0,Bunk'd,2015–
11995,1 nomination.,1,0,0,0,0,0,0,0,0,Becoming Us,2015–
11999,1 nomination.,1,0,0,0,0,0,0,0,0,Boy Machine,2015–
12025,Nominated for 1 Primetime Emmy. Another 1 win.,0,1,0,0,0,0,0,1,0,Breakthrough,2015–
12027,1 win.,0,1,0,0,0,0,0,0,0,The Black Bear,2015
12028,2 wins.,0,2,0,0,0,0,0,0,0,Storks,2016
12049,6 wins & 6 nominations.,6,6,0,0,0,0,0,0,0,Peter Kay's Car Share,2015–
12050,4 nominations.,4,0,0,0,0,0,0,0,0,Victor XX,2015
12074,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,Catching Milat,2015
12095,2 nominations.,2,0,0,0,0,0,0,0,0,Cradle to Grave,2015–
12125,1 nomination.,1,0,0,0,0,0,0,0,0,Children's Song,2015
